id,friendly name,link
15329,AJ Morgan,https://www.asos.com/women/a-to-z-of-brands/aj-morgan/cat/?cid=15329
16232,Alas,https://www.asos.com/women/a-to-z-of-brands/alas/cat/?cid=16232
11476,Aldo,https://www.asos.com/women/a-to-z-of-brands/aldo/cat/?cid=11476
19940,Alex Monroe,https://www.asos.com/women/a-to-z-of-brands/alex-monroe/cat/?cid=19940
14823,Alexander Wang,https://www.asos.com/women/a-to-z-of-brands/alexander-wang/cat/?cid=14823
17907,Alice & you,https://www.asos.com/women/a-to-z-of-brands/alice-you/cat/?cid=17907
8613,Alice Hannah,https://www.asos.com/women/a-to-z-of-brands/alice-hannah/cat/?cid=8613
14129,Bodywrap,https://www.asos.com/women/a-to-z-of-brands/bodywrap/cat/?cid=14129
20009,Body Frock,https://www.asos.com/women/a-to-z-of-brands/body-frock/cat/?cid=20009
20650,Bonds,https://www.asos.com/women/a-to-z-of-brands/bonds/cat/?cid=20650
12936,Boohoo,https://www.asos.com/women/a-to-z-of-brands/cat/?cid=1340
18765,Booroo,https://www.asos.com/women/a-to-z-of-brands/booroo/cat/?cid=18765
11885,Bordelle,https://www.asos.com/women/a-to-z-of-brands/bordelle/cat/?cid=11885
3031,Diesel,https://www.asos.com/women/a-to-z-of-brands/diesel/cat/?cid=3031
11549,Dimity So,https://www.asos.com/women/a-to-z-of-brands/dimity-so/cat/?cid=11549
17559,Dimepiece,https://www.asos.com/women/a-to-z-of-brands/dimepiece/cat/?cid=17559
4529,Disaya,https://www.asos.com/women/a-to-z-of-brands/disaya/cat/?cid=4529
10213,Dirty Pretty Things,https://www.asos.com/women/a-to-z-of-brands/dirty-pretty-things/cat/?cid=10213
20239,Dita Von Teese,https://www.asos.com/women/a-to-z-of-brands/dita-von-teese/cat/?cid=20239
18449,Disney,https://www.asos.com/women/a-to-z-of-brands/disney/cat/?cid=18449
6764,DKNY,https://www.asos.com/women/a-to-z-of-brands/dkny/cat/?cid=6764
6429,Dolce & Gabbana,https://www.asos.com/women/a-to-z-of-brands/dolce-gabbana/cat/?cid=6429
4122,Dogeared,https://www.asos.com/women/a-to-z-of-brands/dogeared/cat/?cid=4122
6172,Dolce Vita,https://www.asos.com/women/a-to-z-of-brands/dolce-vita/cat/?cid=6172
18361,Doll Mixtures,https://www.asos.com/women/a-to-z-of-brands/doll-mixtures/cat/?cid=18361
16248,Donna Wilson,https://www.asos.com/women/a-to-z-of-brands/donna-wilson/cat/?cid=16248
2994,Dr Denim,https://www.asos.com/women/a-to-z-of-brands/dr-denim/cat/?cid=2994
11150,Dress Monster,https://www.asos.com/women/a-to-z-of-brands/dress-monster/cat/?cid=11150
20015,Alice Takes a Trip,https://www.asos.com/women/a-to-z-of-brands/alice-takes-a-trip/cat/?cid=20015
11982,Alice Palmer,https://www.asos.com/women/a-to-z-of-brands/alice-palmer/cat/?cid=11982
14649,Amore & Sorvete,https://www.asos.com/women/a-to-z-of-brands/amore-sorvete/cat/?cid=14649
15908,A-morir,https://www.asos.com/women/a-to-z-of-brands/a-morir/cat/?cid=15908
2049,Amplified,https://www.asos.com/women/a-to-z-of-brands/amplified/cat/?cid=2049
20207,Ann Summers,https://www.asos.com/women/a-to-z-of-brands/ann-summers/cat/?cid=20207
5992,Anika,https://www.asos.com/women/a-to-z-of-brands/anika/cat/?cid=5992
13872,Anna Sheffield,https://www.asos.com/women/a-to-z-of-brands/anna-sheffield/cat/?cid=13872
11479,Annie Greenabelle,https://www.asos.com/women/a-to-z-of-brands/annie-greenabelle/cat/?cid=11479
28580,Liquiproof,https://www.asos.com/women/a-to-z-of-brands/liquiproof/cat/?cid=28580
14795,Anniel,https://www.asos.com/women/a-to-z-of-brands/anniel/cat/?cid=14795
29876,Easilocks,https://www.asos.com/women/a-to-z-of-brands/easilocks/cat/?cid=29876
12434,Ann-Sofie Back,https://www.asos.com/women/a-to-z-of-brands/ann-sofie-back/cat/?cid=12434
20788,Anna Sui,https://www.asos.com/women/a-to-z-of-brands/anna-sui/cat/?cid=20788
19610,Another 8,https://www.asos.com/women/a-to-z-of-brands/another-8/cat/?cid=19610
8337,Antipodium,https://www.asos.com/women/a-to-z-of-brands/antipodium/cat/?cid=8337
4033,Antik Batik,https://www.asos.com/women/a-to-z-of-brands/antik-batik/cat/?cid=4033
13569,Anton Heunis,https://www.asos.com/women/a-to-z-of-brands/anton-heunis/cat/?cid=13569
